Date,Time,Product,Price
2026-02-13,00:49:48,Cetaphil Face Wash,380.0
2026-02-13,00:49:50,Samsung Galaxy S23,46999.0
2026-02-13,00:52:41,Cetaphil Face Wash,353.0
2026-02-13,00:52:43,Samsung Galaxy S23,46999.0
